index,uFilename,uFirstSlice,uLastSlice,uAlgorithm,folder1,folder2,folder3,analysisDate,analysisTime,algorithm,channel,zVoxel,xVoxel,yVoxel,zOrigPixel,xOrigPixel,yOrigPixel,zFinalPixel,xFinalPixel,yFinalPixel,upDownSlices,medianKernelSize,thresholdAlgorithm,thresholdScale,removeSmallerThan,origNumLabels,dilateFinalMaskIterations,tiffHeader,saveBase,path,thresholdPercent
0,20190116__A01_G001_0007_ch1.tif,3.0,84.0,,,,,20200522,19:00:42,vascDen,1,1,0.3977476346942534,0.3977476346942534,109,800,800,82,800,800,1,"(3, 5, 5)",threshold_remove_lower_percent,,80,281,2,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200116'), ('filename', '20190116__A01_G001_0007_ch1.tif'), ('xVoxel', 0.3977476346942534), ('yVoxel', 0.3977476346942534), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 800), ('yPixels', 800), ('zPixels', 109), ('path', '/Users/cudmore/box/data/nathan/20200116/20190116__A01_G001_0007_ch1.tif')])",/Users/cudmore/box/data/nathan/20200116/analysis2/20190116__A01_G001_0007_ch1,/Users/cudmore/box/data/nathan/20200116/20190116__A01_G001_0007_ch1.tif,0.06
1,20190116__A01_G001_0010_ch1.tif,8.0,77.0,,data,nathan,20200116.0,,,,,,,,,,,,,,,,,,,,,,,,
2,20190116__A01_G001_0011_ch1.tif,10.0,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,20190116__A01_G001_0014_ch1.tif,8.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20190116__A01_G001_0015_ch1.tif,35.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,20190116__A01_G001_0018_ch1.tif,33.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20190116__A01_G001_0019_ch1.tif,24.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20190116__A01_G001_0022_ch1.tif,30.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20190116__A01_G001_0023_ch1.tif,32.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20190116__A01_G001_0027_ch1.tif,42.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20190116__A01_G001_0028_ch1.tif,17.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20200518__A01_G001_0002_ch1.tif,11.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,20200518__A01_G001_0003_ch1.tif,13.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,20200518__A01_G001_0004_ch1.tif,27.0,50.0,,,,,20200522.0,18:25:13,vascDen,1.0,1.0,0.6214808646041788,0.6214808646041788,64.0,512.0,512.0,24.0,512.0,512.0,,"(3, 5, 5)",threshold_min_max,0.15,,,,"OrderedDict([('enclosingFolder3', 'data'), ('enclosingFolder2', 'nathan'), ('enclosingFolder1', '20200518'), ('filename', '20200518__A01_G001_0004_ch1.tif'), ('xVoxel', 0.6214808646041788), ('yVoxel', 0.6214808646041788), ('zVoxel', 1), ('unit', 'micron'), ('xPixels', 512), ('yPixels', 512), ('zPixels', 64), ('path', '/Users/cudmore/box/data/nathan/20200518/20200518__A01_G001_0004_ch1.tif')])",/Users/cudmore/box/data/nathan/20200518/analysis2/20200518__A01_G001_0004_ch1,,
